✅ Conectado. Buscando chats recentes...

--- CHATS ENCONTRADOS ---
GRUPO | Nome: "Repete se tu for homi" | ID: 556192576899-1565229297@g.us
GRUPO | Nome: "Vendas Boa Viagem 🛸" | ID: 556199597309-1510005751@g.us
GRUPO | Nome: "Banco de Dados - Dr. Franklin" | ID: 120363370299388401@g.us
GRUPO | Nome: "TDAH Brasil" | ID: 120363282438022914@g.us
GRUPO | Nome: "RVP AN - 114/15/16; 314/15/16" | ID: 120363421893000870@g.us
GRUPO | Nome: "Inimigos do fim - Brasil" | ID: 556181613742-1489240636@g.us
GRUPO | Nome: "Cardume de rolê" | ID: 120363024151075078@g.us
GRUPO | Nome: "Grupin pá marca bar,eixao e gets aleatórios de nós 3" | ID: 120363313460014776@g.us
GRUPO | Nome: "Geral No Setor" | ID: 556181383315-1600627507@g.us
GRUPO | Nome: "Bebedol 2" | ID: 556184765867-1530972364@g.us
GRUPO | Nome: "MIRZAEMALAN - MÍDIAS DIG." | ID: 556191615552-1619460001@g.us
GRUPO | Nome: "A roda 🌙🪘- Feira NoSetor" | ID: 556192682414-1635270660@g.us
GRUPO | Nome: "Bongada, Chucko & Dino" | ID: 120363294621039519@g.us
GRUPO | Nome: "Estudos do 🥥" | ID: 120363022450637301@g.us
GRUPO | Nome: "Ktuhmila Bday 💥 29.11" | ID: 120363367831662923@g.us
GRUPO | Nome: "Faz o F de festafanda 28/06" | ID: 120363045240973737@g.us
GRUPO | Nome: "✨arraiá✨no urubu 12/07 🪗" | ID: 120363419201773899@g.us
GRUPO | Nome: "✨✨✨ Ano Novo Sítio 2026 ✨✨✨" | ID: 120363406409035273@g.us
GRUPO | Nome: "CS DAS MULAS AMIGAS" | ID: 556183282384-1600135132@g.us
GRUPO | Nome: "✨ Ano novo 2025 ✨" | ID: 120363363421286763@g.us
GRUPO | Nome: "Filhos de Franklin" | ID: 556182430328-1586896726@g.us
GRUPO | Nome: "A M I G O S" | ID: 556199441954-1467862509@g.us
GRUPO | Nome: "SÃO JOÃO EM TABROBÓ 🔥🌼🌑🪗 FORRÓ DA LUA NOVA" | ID: 120363141252042778@g.us
GRUPO | Nome: "Comunidade | Matheus Fonseca #1" | ID: 120363418181116580@g.us
GRUPO | Nome: "TDAH Brasil" | ID: 120363379099556386@g.us
GRUPO | Nome: "VlwVlw a gnt sabe q n deu" | ID: 556192576899-1572460383@g.us
GRUPO | Nome: "🎲👾🛡️ TECH CABELITO ⚙️🔋📱" | ID: 556181613742-1438047874@g.us
GRUPO | Nome: "Audiência 14/11" | ID: 120363046541986684@g.us
GRUPO | Nome: "Velha Guarda - Sigma 👴🏾" | ID: 556199441954-1420928123@g.us
GRUPO | Nome: "Filhos de Guetta vs Trisal Batidão 15/08 @birosca" | ID: 120363103028946056@g.us
GRUPO | Nome: "Grupo #2" | ID: 120363401864812477@g.us
GRUPO | Nome: "⚡️FESTA DO GOC⚡️HOJE 21H" | ID: 120363023893953105@g.us
GRUPO | Nome: "" | ID: 120363419670431317@g.us
GRUPO | Nome: "FESTA DA JABUTICABA HOJE!" | ID: 120363045000842575@g.us
GRUPO | Nome: "Brodi games" | ID: 120363024481499787@g.us
GRUPO | Nome: "Espiritualidade 🌴💧🔥🌪️⚡Arcanjo VIKAEL" | ID: 120363400667100337@g.us
GRUPO | Nome: "🔭 CAsB | Sócios ✨" | ID: 120363025055939223@g.us
GRUPO | Nome: "Niver de Dany e Guima 🔥 0% de umidade -> mim dê 🍺" | ID: 120363322073803905@g.us
GRUPO | Nome: "TDAH/TDA" | ID: 120363290150389200@g.us
GRUPO | Nome: "FUT Terça 408 Norte - 20h" | ID: 120363024586987314@g.us
